"job_title_short","avg_salary","jobs_count"
"Senior Data Analyst","127.0000000000000000","10"
"Data Scientist","125.3009478672985782","422"
"Senior Data Scientist","121.9090909090909091","33"
"Data Analyst","115.0540540540540541","37"
